number_in_quran	sura_no	aya_no	text
2463	20	115	﴿ولَقَدْ عَهِدْنا إلى آدَم﴾ وصَّيْناهُ أنْ لا يَأْكُل مِن الشَّجَرَة ﴿مِن قَبْل﴾ أيْ قَبْل أكْله مِنها ﴿فَنَسِيَ﴾ تَرَكَ عَهْدنا ﴿ولَمْ نَجِد لَهُ عَزْمًا﴾ حَزْمًا وصَبْرًا عَمّا نَهَيْناهُ عَنْهُ
2464	20	116	﴿و﴾ اذْكُر ﴿إذْ قُلْنا لِلْمَلائِكَةِ اُسْجُدُوا لِآدَم فَسَجَدُوا إلّا إبْلِيس﴾ وهُوَ أبُو الجِنّ كانَ يَصْحَب المَلائِكَة ويَعْبُد اللَّه مَعَهُمْ ﴿أبى﴾ عَنْ السُّجُود لِآدَم ﴿قالَ أنا خَيْر مِنهُ﴾
2465	20	117	﴿فَقُلْنا يا آدَم إنّ هَذا عَدُوّ لَك ولِزَوْجِك﴾ حَوّاء بِالمَدِّ ﴿فَلا يُخْرِجَنكُما مِن الجَنَّة فَتَشْقى﴾ تَتْعَب بِالحَرْثِ والزَّرْع والحَصْد والطَّحْن والخَبْز وغَيْر ذَلِكَ واقْتَصَرَ عَلى شَقائِهِ لِأَنَّ الرَّجُل يَسْعى عَلى زَوْجَته
2466	20	118	﴿إنّ لَك أ﴾ نْ ﴿لا﴾
2467	20	119	﴿وأَنَّك﴾ بِفَتْحِ الهَمْزَة وكَسْرها عَطْف عَلى اسْم إنّ وجُمْلَتها ﴿لا تَظْمَأ فِيها﴾ تَعْطَش ﴿ولا تَضْحى﴾ لا يَحْصُل لَك حَرّ شَمْس الضُّحى لِانْتِفاءِ الشَّمْس فِي الجَنَّة
2468	20	120	﴿فَوَسْوَسَ إلَيْهِ الشَّيْطان قالَ يا آدَم هَلْ أدُلّك عَلى شَجَرَة الخُلْد﴾ أيْ الَّتِي يُخَلَّد مَن يَأْكُل مِنها ﴿ومُلْك لا يَبْلى﴾ لا يَفْنى وهُوَ لازِم الخُلْد
2469	20	121	﴿فَأَكَلا﴾ أيْ آدَم وحَوّاء ﴿مِنها فَبَدَتْ لَهُما سَوْآتهما﴾ أيْ ظَهَرَ لِكُلٍّ مِنهُما قُبُله وقُبُل الآخَر ودُبُره وسُمِّيَ كُلّ مِنهُما سَوْأَة لِأَنَّ انْكِشافه يَسُوء صاحِبه ﴿وطَفِقا يَخْصِفانِ﴾ أخَذا يُلْزِقانِ ﴿عَلَيْهِما مِن ورَق الجَنَّة﴾ لِيَسْتَتِرا بِهِ ﴿وعَصى آدَم رَبّه فَغَوى﴾ بِالأَكْلِ مِن الشَّجَرَة
2470	20	122	﴿ثُمَّ اجْتَباهُ رَبّه﴾ قَرَّبَهُ ﴿فَتابَ عَلَيْهِ﴾ قَبْل تَوْبَته ﴿وهَدى﴾ أيْ هَداهُ إلى المُداوَمَة عَلى التَّوْبَة
2471	20	123	﴿قالَ اهْبِطا﴾ أيْ آدَم وحَوّاء بِما اشْتَمَلْتُما عَلَيْهِ مِن ذُرِّيَّتكُما ﴿مِنها﴾ مِن الجَنَّة ﴿جَمِيعًا بَعْضكُمْ﴾ بَعْض الذُّرِّيَّة ﴿لِبَعْضٍ عَدُوّ﴾ مِن ظُلْم بَعْضهمْ بَعْضًا ﴿فَإمّا﴾ فِيهِ إدْغام نُون إنْ الشَّرْطِيَّة فِي ما المَزِيدَة ﴿يَأْتِيَنكُمْ مِنِّي هُدًى فَمَن اتَّبَعَ هُدايَ﴾ القُرْآن ﴿فَلا يَضِلّ﴾ فِي الدُّنْيا ﴿ولا يَشْقى﴾ فِي الآخِرَة
2472	20	124	﴿ومَن أعْرَضَ عَنْ ذِكْرِي﴾ القُرْآن فَلَمْ يُؤْمِن بِهِ ﴿فَإنَّ لَهُ مَعِيشَة ضَنْكًا﴾ بِالتَّنْوِينِ مَصْدَر بِمَعْنى ضَيِّقَة وفُسِّرَتْ فِي حَدِيث بِعَذابِ الكافِر فِي قَبْره ﴿ونَحْشُرهُ﴾ أيْ المُعْرِض عَنْ القُرْآن ﴿يَوْم القِيامَة أعْمى﴾ أعْمى البَصَر
2473	20	125	﴿قالَ رَبّ لَمْ حَشَرْتنِي أعْمى وقَدْ كُنْت بَصِيرًا﴾ فِي الدُّنْيا وعِنْد البَعْث
2474	20	126	﴿قالَ﴾ الأَمْر ﴿كَذَلِكَ أتَتْك آيَتنا فَنَسِيتها﴾ تَرَكْتها ولَمْ تُؤْمِن بِها ﴿وكَذَلِكَ﴾ مِثْل نِسْيانك آياتنا ﴿اليَوْم تُنْسى﴾ تُتْرَك فِي النّار
2475	20	127	﴿وكَذَلِكَ﴾ ومِثْل جَزائِنا مَن أعْرَضَ عَنْ القُرْآن ﴿نَجْزِي مَن أسْرَفَ﴾ أشْرَكَ ﴿ولَمْ يُؤْمِن بِآياتِ رَبّه ولَعَذاب الآخِرَة أشَدّ﴾ مِن عَذاب الدُّنْيا وعَذاب القَبْر ﴿وأَبْقى﴾ أدْوَم
2476	20	128	﴿أفَلَمْ يَهْدِ﴾ يَتَبَيَّن ﴿لَهُمْ﴾ لِكُفّارِ مَكَّة ﴿كَمْ﴾ خَبَرِيَّة مَفْعُول ﴿أهْلَكْنا﴾ أيْ كَثِيرًا إهْلاكنا ﴿قَبْلهمْ مِن القُرُون﴾ أيْ الأُمَم الماضِيَة بِتَكْذِيبِ الرُّسُل ﴿يَمْشُونَ﴾ حال مِن ضَمِير لَهُمْ ﴿فِي مَساكِنهمْ﴾ فِي سَفَرهمْ إلى الشّام وغَيْرها فَيَعْتَبِرُوا وما ذُكِرَ مِن أخْذ إهْلاك مِن فِعْله الخالِي عَنْ حَرْف مَصْدَرِيّ لِرِعايَةِ المَعْنى لا مانِع مِنهُ ﴿إنّ فِي ذَلِكَ لَآيات﴾ لَعِبَرًا ﴿لِأُولِي النُّهى﴾ لِذَوِي العُقُول
2477	20	129	﴿ولَوْلا كَلِمَة سَبَقَتْ مِن رَبّك﴾ بِتَأْخِيرِ العَذاب عَنْهُمْ إلى الآخِرَة ﴿لَكانَ﴾ الإهْلاك ﴿لِزامًا﴾ لازِمًا لَهُمْ فِي الدُّنْيا ﴿وأَجَل مُسَمًّى﴾ مَضْرُوب لَهُمْ مَعْطُوف عَلى الضَّمِير المُسْتَتِر فِي كانَ وقامَ الفَصْل بِخَبَرِها مَكان التَّأْكِيد
2478	20	130	﴿فاصْبِرْ عَلى ما يَقُولُونَ﴾ مَنسُوخ بِآيَةِ القِتال ﴿وسَبِّحْ﴾ صَلِّ ﴿بِحَمْدِ رَبّك﴾ حال: أيْ مُلْتَبِسًا بِهِ ﴿قَبْل طُلُوع الشَّمْس﴾ صَلاة الصُّبْح ﴿وقَبْل غُرُوبها﴾ صَلاة العَصْر ﴿ومِن آناء اللَّيْل﴾ ساعاته ﴿فَسَبِّحْ﴾ صَلِّ المَغْرِب والعِشاء ﴿وأَطْراف النَّهار﴾ عَطْف عَلى مَحَلّ مِن آناء المَنصُوب: أيْ صَلِّ الظُّهْر لِأَنَّ وقْتها يَدْخُل بِزَوالِ الشَّمْس فَهُوَ طَرَف النِّصْف الأَوَّل وطَرَف النِّصْف الثّانِي ﴿لَعَلَّك تَرْضى﴾ بِما تُعْطى مِن الثَّواب
2479	20	131	﴿ولا تَمُدَّنَّ عَيْنَيْك إلى ما مَتَّعْنا بِهِ أزْواجًا﴾ أصْنافًا ﴿مِنهُمْ زَهْرَة الحَياة الدُّنْيا﴾ زِينَتها وبَهْجَتها ﴿لِنَفْتِنهُمْ فِيهِ﴾ بِأَنْ يَطْغَوْا ﴿ورِزْق رَبّك﴾ فِي الجَنَّة ﴿خَيْر﴾ مِمّا أُوتُوهُ فِي الدُّنْيا ﴿وأَبْقى﴾ أدْوَم
2480	20	132	﴿وأْمُرْ أهْلك بِالصَّلاةِ واصْطَبِرْ﴾ اصْبِرْ ﴿عَلَيْها لا نَسْأَلك﴾ نُكَلِّفك ﴿رِزْقًا﴾ لِنَفْسِك ولا لِغَيْرِك ﴿نَحْنُ نَرْزُقك والعاقِبَة﴾ الجَنَّة ﴿لِلتَّقْوى﴾ لِأَهْلِها
2481	20	133	﴿وقالُوا﴾ المُشْرِكُونَ ﴿لَوْلا﴾ هَلّا ﴿يَأْتِينا﴾ مُحَمَّد ﴿بِآيَةٍ مِن رَبّه﴾ مِمّا يَقْتَرِحُونَهُ ﴿أوَلَمْ تَأْتِهِمْ﴾ بِالتّاءِ والياء ﴿بَيِّنَة﴾ بَيان ﴿ما فِي الصُّحُف الأُولى﴾ المُشْتَمِل عَلَيْهِ القُرْآن مِن أنْباء الأُمَم الماضِيَة وإهْلاكهمْ بِتَكْذِيبِ الرُّسُل
2482	20	134	﴿ولَوْ أنّا أهْلَكْناهُمْ بِعَذابٍ مِن قَبْله﴾ قَبْل مُحَمَّد الرَّسُول ﴿لَقالُوا﴾ يَوْم القِيامَة ﴿رَبّنا لَوْلا﴾ هَلّا ﴿أرْسَلْت إلَيْنا رَسُولًا فَنَتَّبِع آياتك﴾ المُرْسَل بِها ﴿مِن قَبْل أنْ نَذِلّ﴾ فِي القِيامَة ﴿ونَخْزى﴾ فِي جَهَنَّم
2483	20	135	﴿قُلْ﴾ لَهُمْ ﴿كُلّ﴾ مِنّا ومِنكُمْ ﴿مُتَرَبِّص﴾ مُنْتَظِر ما يَئُول إلَيْهِ الأَمْر ﴿فَتَرَبَّصُوا فَسَتَعْلَمُونَ﴾ فِي القِيامَة ﴿مَن أصْحاب الصِّراط﴾ الطَّرِيق ﴿السَّوِيّ﴾ المُسْتَقِيم ﴿ومَن اهْتَدى﴾ مِن الضَّلالَة أنَحْنُ أمْ أنْتُمْ
2484	21	1	سُورَة الأَنْبِياء [ مَكِّيَّة وهِيَ مِائَة واثْنَتا عَشْرَة آيَة نَزَلَتْ بَعْد سُورَة إبْراهِيم ] ﴿اقْتَرَبَ﴾ قَرُبَ ﴿لِلنّاس﴾ أهْل مَكَّة مُنْكِرِي البَعْث ﴿حِسابُهُم﴾ يَوْم القِيامَة ﴿وهُمْ فِي غَفْلَة﴾ عَنْهُ ﴿مُعْرِضُونَ﴾ عَنْ التَّأَهُّب لَهُ بِالإيمانِ
2485	21	2	﴿ما يَأْتِيهِمْ مِن ذِكْر مِن رَبّهمْ مُحْدَث﴾ شَيْئًا فَشَيْئًا أيْ لَفْظ قُرْآن ﴿إلّا اسْتَمَعُوهُ وهُمْ يَلْعَبُونَ﴾ يَسْتَهْزِئُونَ
2486	21	3	﴿لاهِيَة﴾ غافِلَة ﴿قُلُوبهمْ﴾ عَنْ مَعْناهُ ﴿وأَسَرُّوا النَّجْوى﴾ الكَلام ﴿الَّذِينَ ظَلَمُوا﴾ بَدَل مِن واو ﴿هَلْ هَذا﴾ أيْ مُحَمَّد ﴿إلّا بَشَر مِثْلكُمْ﴾ فَما يَأْتِي بِهِ سِحْر ﴿أفَتَأْتُونَ السِّحْر﴾ تَتَّبِعُونَهُ ﴿وأَنْتُمْ تُبْصِرُونَ﴾ تَعْلَمُونَ أنَّهُ سِحْر
2487	21	4	﴿قالَ﴾ لَهُمْ ﴿رَبِّي يَعْلَم القَوْل﴾ كائِنًا ﴿فِي السَّماء والأَرْض وهُوَ السَّمِيع﴾ لِما أسَرُّوهُ ﴿العَلِيم﴾ بِهِ
2488	21	5	﴿بَلْ﴾ لِلِانْتِقالِ مِن غَرَض إلى آخَر فِي المَواضِع الثَّلاثَة ﴿قالُوا﴾ فِيما أتى بِهِ مِن القُرْآن هُوَ ﴿أضْغاث أحْلام﴾ أخْلاط رَآها فِي النَّوْم ﴿بَلْ افْتَراهُ﴾ اخْتَلَقَهُ ﴿بَلْ هُوَ شاعِر﴾ فَما أتى بِهِ شِعْر ﴿فَلْيَأْتِنا بِآيَةٍ كَما أُرْسِلَ الأَوَّلُونَ﴾ كالنّاقَةِ والعَصا واليَد
2489	21	6	﴿ما آمَنَتْ قَبْلهمْ مِن قَرْيَة﴾ أيْ أهْلها ﴿أهْلَكْناها﴾ بِتَكْذِيبِها ما أتاها مِن الآيات ﴿أفَهُمْ يُؤْمِنُونَ﴾ لا
2490	21	7	﴿وما أرْسَلْنا قَبْلك إلّا رِجالًا نُوحِي﴾ وفِي قِراءَة بِالياءِ وفَتْح الحاء ﴿إلَيْهِمْ﴾ المَلائِكَة ﴿فاسْأَلُوا أهْل الذِّكْر﴾ العُلَماء بِالتَّوْراةِ والإنْجِيل ﴿إنْ كُنْتُمْ لا تَعْلَمُونَ﴾ ذَلِكَ فَإنَّهُمْ يَعْلَمُونَهُ وأَنْتُمْ إلى تَصْدِيقهمْ أقْرَب مِن تَصْدِيق المُؤْمِنِينَ بِمُحَمَّدٍ
2491	21	8	﴿وما جَعَلْناهُمْ﴾ أيْ الرُّسُل ﴿جَسَدًا﴾ بِمَعْنى أجْسادًا ﴿لا يَأْكُلُونَ الطَّعام﴾ بَلْ يَأْكُلُونَهُ ﴿وما كانُوا خالِدِينَ﴾ فِي الدُّنْيا
2492	21	9	﴿ثُمَّ صَدَقْناهُمْ الوَعْد﴾ بِإنْجائِهِمْ ﴿فَأَنْجَيْناهُمْ ومَن نَشاء﴾ المُصَدِّقِينَ لَهُمْ ﴿وأَهْلَكْنا المُسْرِفِينَ﴾ المُكَذِّبِينَ لَهُمْ
2493	21	10	﴿لَقَدْ أنْزَلْنا إلَيْكُمْ﴾ يا مَعْشَر قُرَيْش ﴿كِتابًا فِيهِ ذِكْركُمْ﴾ لِأَنَّهُ بِلُغَتِكُمْ ﴿أفَلا تَعْقِلُونَ﴾ فَتُؤْمِنُونَ بِهِ
2494	21	11	﴿وكَمْ قَصَمْنا﴾ أهْلَكْنا ﴿مِن قَرْيَة﴾ أيْ أهْلها ﴿كانَتْ ظالِمَة﴾ كافِرَة
2495	21	12	﴿فَلَمّا أحَسُّوا بَأْسنا﴾ شَعَرَ أهْل القَرْيَة بِالإهْلاكِ ﴿إذا هُمْ مِنها يَرْكُضُونَ﴾ يَهْرُبُونَ مُسْرِعِينَ
2496	21	13	فَقالَتْ لَهُمْ المَلائِكَة اسْتِهْزاء ﴿لا تَرْكُضُوا وارْجِعُوا إلى ما أُتْرِفْتُمْ﴾ نُعِّمْتُمْ ﴿فِيهِ ومَساكِنكُمْ لَعَلَّكُمْ تُسْأَلُونَ﴾ شَيْئًا مِن دُنْياكُمْ عَلى العادَة
2497	21	14	﴿قالُوا يا﴾ لِلتَّنْبِيهِ ﴿ويْلنا﴾ هَلاكنا ﴿إنّا كُنّا ظالِمِينَ﴾ بِالكُفْرِ
2498	21	15	﴿فَما زالَتْ تِلْكَ﴾ الكَلِمات ﴿دَعْواهُمْ﴾. يَدْعُونَ بِها ويُرَدِّدُونَها ﴿حَتّى جَعَلْناهُمْ حَصِيدًا﴾ كالزَّرْعِ المَحْصُود بِالمَناجِلِ بِأَنْ قُتِلُوا بِالسَّيْفِ ﴿خامِدِينَ﴾ مَيِّتِينَ كَخُمُودِ النّار إذا طَفِئَتْ
2499	21	16	﴿وما خَلَقْنا السَّماء والأَرْض وما بَيْنهما لاعِبِينَ﴾ عابِثِينَ بَلْ دالِّينَ عَلى قُدْرَتنا ونافِعِينَ عِبادنا
2500	21	17	﴿لَوْ أرَدْنا أنْ نَتَّخِذ لَهْوًا﴾ ما يُلْهى بِهِ مِن زَوْجَة أوْ ولَد ﴿لاِتَّخَذْناهُ مِن لَدُنّا﴾ مِن عِنْدنا مِن الحُور العِين والمَلائِكَة ﴿إنْ كُنّا فاعِلِينَ﴾ ذَلِكَ لَكِنّا لَمْ نَفْعَلهُ فَلَمْ نُرِدْهُ
2501	21	18	﴿بَلْ نَقْذِف﴾ نَرْمِي ﴿بِالحَقِّ﴾ الإيمان ﴿عَلى الباطِل﴾ الكُفْر ﴿فَيَدْمَغهُ﴾ يُذْهِبهُ ﴿فَإذا هُوَ زاهِق﴾ ذاهِب ودَمَغَهُ فِي الأَصْل: أصابَ دِماغه بِالضَّرْبِ وهُوَ مَقْتَل ﴿ولَكُمْ﴾ يا كُفّار مَكَّة ﴿الوَيْل﴾ العَذاب الشَّدِيد ﴿مِمّا تَصِفُونَ﴾ اللَّه بِهِ مِن الزَّوْجَة أوْ الوَلَد
2502	21	19	﴿ولَهُ﴾ تَعالى ﴿مَن فِي السَّماوات والأَرْض﴾ مُلْكًا ﴿ومَن عِنْده﴾ أيْ المَلائِكَة مُبْتَدَأ خَبَره ﴿لا يَسْتَكْبِرُونَ عَنْ عِبادَته ولا يَسْتَحْسِرُونَ﴾ لا يَعْيَوْنَ
2503	21	20	﴿يُسَبِّحُونَ اللَّيْل والنَّهار لا يَفْتُرُونَ﴾ عَنْهُ فَهُوَ مِنهُمْ كالنَّفَسِ مِنّا لا يَشْغَلنا عَنْهُ شاغِل
2504	21	21	﴿أمْ﴾ بِمَعْنى بَلْ لِلِانْتِقالِ والهَمْزَة لِلْإنْكارِ ﴿اتَّخَذُوا آلِهَة﴾ كائِنَة ﴿مِن الأَرْض﴾ كَحَجَرٍ وذَهَب وفِضَّة ﴿هُمْ﴾ أيْ الآلِهَة ﴿يَنْشُرُونَ﴾ أيْ يُحْيُونَ المَوْتى ؟ لا ولا يَكُون إلَهًا إلّا مَن يُحْيِي المَوْتى
2505	21	22	﴿لَوْ كانَ فِيهِما﴾ أيْ السَّماوات والأَرْض ﴿آلِهَة إلّا اللَّه﴾ أيْ غَيْره ﴿لَفَسَدَتا﴾ أيْ خَرَجَتا عَنْ نِظامهما المُشاهَد لِوُجُودِ التَّمانُع بَيْنهمْ عَلى وفْق العادَة عِنْد تَعَدُّد الحاكِم مِن التَّمانُع فِي الشَّيْء وعَدَم الِاتِّفاق عَلَيْهِ ﴿فَسُبْحان﴾ تَنْزِيه ﴿اللَّه رَبّ﴾ خالِق ﴿العَرْش﴾ الكُرْسِيّ ﴿عَمّا يَصِفُونَ﴾ الكُفّار اللَّه بِهِ مِن الشَّرِيك لَهُ وغَيْره
2506	21	23	﴿لا يُسْأَل عَمّا يَفْعَل وهُمْ يُسْأَلُونَ﴾ عَنْ أفْعالهمْ
2507	21	24	﴿أمْ اتَّخَذُوا مِن دُونه آلِهَة﴾ تَعالى أيْ سِواهُ فِيهِ اسْتِفْهام تَوْبِيخ ﴿قُلْ هاتُوا بُرْهانكُمْ﴾ عَلى ذَلِكَ ولا سَبِيل إلَيْهِ ﴿هَذا ذِكْر مَن مَعِيَ﴾ أُمَّتِي وهُوَ القُرْآن ﴿وذِكْر مَن قَبْلِي﴾ مِن الأُمَم وهُوَ التَّوْراة والإنْجِيل وغَيْرهما مِن كُتُب اللَّه لَيْسَ فِي واحِد مِنها أنَّ مَعَ اللَّه إلَهًا مِمّا قالُوا تَعالى عَنْ ذَلِكَ ﴿بَلْ أكْثَرهمْ لا يَعْلَمُونَ الحَقّ﴾ تَوْحِيد اللَّه ﴿فَهُمْ مُعْرِضُونَ﴾ عَنْ النَّظَر المُوصِل إلَيْهِ
2508	21	25	﴿وما أرْسَلْنا مِن قَبْلك مِن رَسُول إلّا نُوحِي﴾ وفِي قِراءَة بِالياءِ وفَتْح الحاء ﴿إلَيْهِ أنَّهُ لا إلَه إلّا أنا فاعْبُدُونِي﴾ أيْ وحِّدُونِي
2509	21	26	﴿وقالُوا اتَّخَذَ الرَّحْمَن ولَدًا﴾ مِن المَلائِكَة ﴿سُبْحانه بَلْ﴾ هُمْ ﴿عِباد مُكْرَمُونَ﴾ عِنْده والعُبُودِيَّة تُنافِي الوِلادَة
2510	21	27	﴿لا يَسْبِقُونَهُ بِالقَوْلِ﴾ لا يَأْتُونَ بِقَوْلِهِمْ إلّا بَعْد قَوْله ﴿وهُمْ بِأَمْرِهِ يَعْمَلُونَ﴾ أيْ بَعْده
2511	21	28	﴿يَعْلَم ما بَيْن أيْدِيهمْ وما خَلْفهمْ﴾ ما عَمِلُوا وما هُمْ عامِلُونَ ﴿ولا يَشْفَعُونَ إلّا لِمَن ارْتَضى﴾ تَعالى أنْ يَشْفَع لَهُ ﴿وهُمْ مِن خَشْيَته﴾ تَعالى ﴿مُشْفِقُونَ﴾ خائِفُونَ
2512	21	29	﴿ومَن يَقُلْ مِنهُمْ إنِّي إلَه مِن دُونه﴾ أيْ اللَّه أيْ غَيْره وهُوَ إبْلِيس دَعا إلى عِبادَة نَفْسه وأَمَرَ بِطاعَتِها ﴿فَذَلِك نَجْزِيه جَهَنَّم كَذَلِكَ﴾ كَما نَجْزِيه ﴿نَجْزِي الظّالِمِينَ﴾ المُشْرِكِينَ
2513	21	30	﴿أوَلَمْ﴾ بِواوٍ وتَرْكها ﴿يَرَ﴾ يَعْلَم ﴿الَّذِينَ كَفَرُوا أنَّ السَّمَوات والأَرْض كانَتا رَتْقًا﴾ سَدًّا بِمَعْنى مَسْدُودَة ﴿فَفَتَقْناهُما﴾ جَعَلْنا السَّماء سَبْعًا والأَرْض سَبْعًا أوْ فَتَقَ السَّماء أنْ كانَتْ لا تُمْطِر فَأَمْطَرَتْ وفَتَقَ الأَرْض أنْ كانَتْ لا تُنْبِت فَأَنْبَتَتْ ﴿وجَعَلْنا مِن الماء﴾ النّازِل مِن السَّماء والنّابِع مِن الأَرْض ﴿كُلّ شَيْء حَيّ﴾ مِن نَبات وغَيْره أيْ فالماء سَبَب لِحَياتِهِ ﴿أفَلا يُؤْمِنُونَ﴾ بِتَوْحِيدِي
2514	21	31	﴿وجَعَلْنا فِي الأَرْض رَواسِيَ﴾ جِبالًا ثَوابِت ﴿أنْ﴾ لا ﴿تَمِيد﴾ تَتَحَرَّك ﴿بِهِمْ وجَعَلْنا فِيها﴾ الرَّواسِيَ ﴿فِجاجًا﴾ مَسالِك ﴿سُبُلًا﴾ بَدَل طُرُقًا نافِذَة واسَعَة ﴿لَعَلَّهُمْ يَهْتَدُونَ﴾ إلى مَقاصِدهمْ فِي الأَسْفار
2515	21	32	﴿وجَعَلْنا السَّماء سَقْفًا﴾ لِلْأَرْضِ كالسَّقْفِ لِلْبَيْتِ ﴿مَحْفُوظًا﴾. عَنْ الوُقُوع ﴿وهُمْ عَنْ آياتها﴾ مِن الشَّمْس والقَمَر والنُّجُوم ﴿مُعْرِضُونَ﴾ لا يَتَفَكَّرُونَ فِيها فَيَعْلَمُونَ أنَّ خالِقها لا شَرِيك لَهُ
2516	21	33	﴿وهُوَ الَّذِي خَلَقَ اللَّيْل والنَّهار والشَّمْس والقَمَر كُلّ﴾ تَنْوِينه عِوَض عَنْ المُضاف إلَيْهِ مِن الشَّمْس والقَمَر وتابِعه وهُوَ النُّجُوم ﴿فِي فَلَك﴾ مُسْتَدِير كالطّاحُونَةِ فِي السَّماء ﴿يَسْبَحُونَ﴾ يَسِيرُونَ بِسُرْعَةٍ كالسّابِحِ فِي الماء ولِلتَّشْبِيهِ بِهِ أتى بِضَمِيرِ جَمْع مَن يَعْقِل
2517	21	34	ونَزَلَ لَمّا قالَ الكُفّار إنّ مُحَمَّدًا سَيَمُوتُ: ﴿وما جَعَلْنا لِبَشَرٍ مِن قَبْلك الخُلْد﴾ البَقاء فِي الدُّنْيا ﴿أفَإنْ مِتَّ فَهُمْ الخالِدُونَ﴾ فِيها؟ لا فالجُمْلَة الأَخِيرَة مَحَلّ الِاسْتِفْهام الإنْكارِيّ
2518	21	35	﴿كُلّ نَفْس ذائِقَة المَوْت﴾ فِي الدُّنْيا ﴿ونَبْلُوكُمْ﴾ نَخْتَبِركُمْ ﴿بِالشَّرِّ والخَيْر﴾ كَفَقْرٍ وغِنًى وسَقَم وصِحَّة ﴿فِتْنَة﴾ مَفْعُول لَهُ أيْ لِنَنْظُر أتَصْبِرُونَ وتَشْكُرُونَ أمْ لا ﴿وإلَيْنا تُرْجَعُونَ﴾ فَنُجازِيكُمْ
2519	21	36	﴿وإذا رَءاكَ الَّذِينَ كَفَرُوا إنْ﴾ ما ﴿يَتَّخِذُونَك إلّا هُزُوًا﴾ أيْ مَهْزُوءًا بِهِ يَقُولُونَ ﴿أهَذا الَّذِي يَذْكُر آلِهَتكُمْ﴾ أيْ يَعِيبها ﴿وهُمْ بِذِكْرِ الرَّحْمَن﴾ لَهُمْ ﴿هُمْ﴾ تَأْكِيد ﴿كافِرُونَ﴾ بِهِ إذْ قالُوا ما نَعْرِفهُ
2520	21	37	ونَزَلَ فِي اسْتِعْجالهمْ العَذاب ﴿خُلِقَ الإنْسان مِن عَجَل﴾ أيْ أنَّهُ لِكَثْرَةِ عَجَله فِي أحْواله كَأَنَّهُ خُلِقَ مِنهُ ﴿سَأُورِيكُمْ آياتِي﴾ مَواعِيدِي بِالعَذابِ ﴿فَلا تَسْتَعْجِلُونَ﴾ فِيهِ فَأَراهُمْ القَتْل بِبَدْرٍ
2521	21	38	﴿ويَقُولُونَ مَتى هَذا الوَعْد﴾ بِالقِيامَةِ ﴿إنْ كُنْتُمْ صادِقِينَ﴾ فِيهِ
2522	21	39	﴿لَوْ يَعْلَم الَّذِينَ كَفَرُوا حِين لا يَكُفُّونَ﴾ يَدْفَعُونَ ﴿عَنْ وُجُوههمْ النّار ولا عَنْ ظُهُورهمْ ولا هُمْ يُنْصَرُونَ﴾ يُمْنَعُونَ مِنها فِي القِيامَة وجَواب لَوْ ما قالُوا ذَلِكَ
2523	21	40	﴿بَلْ تَأْتِيهِمْ﴾ القِيامَة ﴿بَغْتَة فَتَبْهَتهُمْ﴾ تُحَيِّرهُمْ ﴿فَلا يَسْتَطِيعُونَ رَدّها ولا هُمْ يُنْظَرُونَ﴾ يُمْهَلُونَ لِتَوْبَةٍ أوْ مَعْذِرَةٍ
2524	21	41	﴿ولَقَدْ اُسْتُهْزِئَ بِرُسُلٍ مِن قَبْلك﴾ فِيهِ تَسْلِيَة لِلنَّبِيِّ ﷺ ﴿فَحاقَ﴾ نَزَلَ ﴿بِالَّذِينَ سَخِرُوا مِنهُمْ ما كانُوا بِهِ يَسْتَهْزِئُونَ﴾ وهُوَ العَذاب فَكَذا يَحِيق بِمَن اسْتَهْزَأَ بِك
2525	21	42	﴿قُلْ﴾ لَهُمْ ﴿مَن يَكْلَؤُكُمْ﴾ يَحْفَظكُمْ ﴿بِاللَّيْلِ والنَّهار مِن الرَّحْمَن﴾ مِن عَذابه إنْ نَزَلَ بِكُمْ أيْ: لا أحَد يَفْعَل ذَلِكَ والمُخاطَبُونَ لا يَخافُونَ عَذاب اللَّه لِإنْكارِهِمْ لَهُ ﴿بَلْ هُمْ عَنْ ذِكْر رَبّهمْ﴾ أيْ القُرْآن ﴿مُعْرِضُونَ﴾ لا يَتَفَكَّرُونَ فِيهِ
2526	21	43	﴿أمْ﴾ فِيها مَعْنى الهَمْزَة لِلْإنْكارِ ﴿لَهُمْ آلِهَة تَمْنَعهُمْ﴾ مِمّا يَسُوءهُمْ ﴿مِن دُوننا﴾ أيْ ألَهُمْ مَن يَمْنَعهُمْ مِنهُ غَيْرنا ؟ لا ﴿لا يَسْتَطِيعُونَ﴾ أيْ الآلِهَة ﴿نَصْر أنْفُسهمْ﴾ فَلا يَنْصُرُونَهُمْ ﴿ولا هُمْ﴾ أيْ الكُفّار ﴿مِنّا﴾ مِن عَذابنا ﴿يُصْحَبُونَ﴾ يُجارُونَ يُقال صَحِبَك اللَّه: أيْ حَفِظَك وأَجارَك
